slug;rubrik;prio;quelle;typ;cluster_vorschlag;rubrik_final;slug_final
configuration-management-database-cmdb;Configuration Management Database (CMDB);2;capterra;software;Daten & Analytics;Configuration Management Database (CMDB);configuration-management-database-cmdb
configuration-management-tools;Configuration Management Tools;2;capterra;software;Weitere Software;Configuration Management Tools;configuration-management-tools
consent-management-platform-cmp;Consent Management Platform Cmp;2;omr;software;Weitere Software;Consent-Management-Plattformen;consent-management-plattformen
container-sicherheitssoftware;Container-Sicherheitssoftware;1;capterra;software;IT, Security & Infrastruktur;Container-Sicherheitssoftware;container-sicherheitssoftware
content-collaboration-tools;Content Collaboration Tools;2;capterra;software;Marketing & SEO;Content Collaboration Tools;content-collaboration-tools
content-creation;Content Creation;3;omr;software;Marketing & SEO;Content-Erstellung;content-erstellung
content-delivery-network;Content-Delivery-Network;3;capterra;software;Marketing & SEO;Content-Delivery-Network;content-delivery-network
content-management-systeme;Content-Management-Systeme;2;capterra;software;Marketing & SEO;Content-Management-Systeme;content-management-systeme
content-management-systems-cms;Content Management Systems CMS;2;omr;software;Marketing & SEO;Content-Management-Systeme;content-management-systeme-cms
content-marketing-tools;Content-Marketing-Tools;2;beide;software;Marketing & SEO;Content-Marketing-Tools;content-marketing-tools
content-recommendation;Content Recommendation;3;omr;software;Marketing & SEO;Content-Empfehlung;content-empfehlung
contest-software;Contest Software;1;capterra;software;Marketing & SEO;Contest Software;contest-software
continuous-integration-tools;Continuous-Integration-Tools;2;capterra;software;KI & Automatisierung;Continuous-Integration-Tools;continuous-integration-tools
contract-analytics;Contract Analytics;3;omr;software;Daten & Analytics;Vertragsanalyse;vertragsanalyse
convenience-store-und-ladensoftware;Convenience Store und Ladensoftware;1;capterra;software;Weitere Software;Convenience Store und Ladensoftware;convenience-store-und-ladensoftware
conversation-intelligence-software;Conversation-Intelligence-Software;1;beide;software;Weitere Software;Conversation-Intelligence-Software;conversation-intelligence-software
conversational-intelligence;Conversational Intelligence;3;omr;software;Weitere Software;Gesprächsanalyse;gespraechsanalyse
conversational-marketing;Conversational Marketing;3;omr;software;Marketing & SEO;Conversational Marketing;conversational-marketing
conversational-marketing-plattformen;Conversational Marketing Plattformen;2;capterra;software;Marketing & SEO;Conversational Marketing Plattformen;conversational-marketing-plattformen
conversion-optimization;Conversion Optimization;3;omr;software;Marketing & SEO;Conversion-Optimierung;conversion-optimierung
conversion-tracking;Conversion Tracking;3;omr;software;Marketing & SEO;Conversion-Tracking;conversion-tracking
core-hr;Core HR;3;omr;software;Personal & HR;Personalstammdaten;personalstammdaten
corporate-learning-management-systems;Corporate Learning Management Systems;2;omr;software;Lernen & Events;Lernmanagement für Unternehmen;lernmanagement-fuer-unternehmen
corporate-sustainability-reporting-directive-csrd;Corporate Sustainability Reporting Directive Csrd;3;omr;software;Daten & Analytics;CSRD-Berichterstattung;csrd-berichterstattung
corporate-wellness-software;Corporate Wellness Software;1;beide;software;Personal & HR;Corporate Wellness Software;corporate-wellness-software
cpm-software;CPM Software;1;capterra;software;Weitere Software;CPM Software;cpm-software
cpq-software;CPQ Software;1;beide;software;Vertrieb & CRM;CPQ Software;cpq-software
creative-management-software;Creative Management Software;1;capterra;software;Design & Kreativ;Creative Management Software;creative-management-software
crm;CRM;2;omr;software;Vertrieb & CRM;CRM;crm
crm-beratung;CRM Beratung;2;omr;dienstleister;;CRM Beratung;crm-beratung
crm-software-fuer-banken-und-finanzdienstleister;CRM Software für Banken und Finanzdienstleister;1;capterra;software;Weitere Branchen;CRM Software für Banken und Finanzdienstleister;crm-software-fuer-banken-und-finanzdienstleister
crm-software-fuer-bauunternehmen;CRM Software für Bauunternehmen;1;capterra;software;Bau & Handwerk;CRM Software für Bauunternehmen;crm-software-fuer-bauunternehmen
crm-software-fuer-das-gesundheitswesen;CRM Software für das Gesundheitswesen;1;capterra;software;Gesundheit & Pflege;CRM Software für das Gesundheitswesen;crm-software-fuer-das-gesundheitswesen
crm-software-fuer-immobilienagenturen;CRM Software für Immobilienagenturen;1;capterra;software;Immobilien;CRM Software für Immobilienagenturen;crm-software-fuer-immobilienagenturen
crm-software-fuer-kleinunternehmen;CRM Software für Kleinunternehmen;1;capterra;software;Vertrieb & CRM;CRM Software für Kleinunternehmen;crm-software-fuer-kleinunternehmen
crm-software-fuer-mac;CRM Software für Mac;1;capterra;software;Vertrieb & CRM;CRM Software für Mac;crm-software-fuer-mac
crm-software-fuer-versicherungen;CRM Software für Versicherungen;1;capterra;software;Weitere Branchen;CRM Software für Versicherungen;crm-software-fuer-versicherungen
crm-systeme;CRM-Systeme;2;capterra;software;Vertrieb & CRM;CRM-Systeme;crm-systeme
crm-systeme-fuer-nonprofit-organisationen;CRM-Systeme für Nonprofit-Organisationen;2;beide;software;Non-Profit, Kirche & Verein;CRM-Systeme für Nonprofit-Organisationen;crm-systeme-fuer-nonprofit-organisationen
cross-channel-advertising;Cross Channel Advertising;3;omr;software;Marketing & SEO;Kanalübergreifende Werbung;kanaluebergreifende-werbung
crypto-accounting;Crypto Accounting;3;omr;software;Finanzen & Buchhaltung;Krypto-Buchhaltung;krypto-buchhaltung
ctrm-software;CTRM-Software;1;capterra;software;Weitere Software;CTRM-Software;ctrm-software
customer-advocacy-software;Customer Advocacy Software;1;capterra;software;Non-Profit, Kirche & Verein;Customer Advocacy Software;customer-advocacy-software
customer-data-platforms-cdp;Customer Data Platforms CDP;2;omr;software;Daten & Analytics;Customer-Data-Plattformen;customer-data-plattformen-cdp
customer-engagement-plattform-cep;Customer Engagement Plattform Cep;2;omr;software;Weitere Software;Customer Engagement Plattform Cep;customer-engagement-plattform-cep
customer-journey-analytics;Customer Journey Analytics;3;omr;software;Daten & Analytics;Customer-Journey-Analyse;customer-journey-analyse
customer-journey-mapping;Customer Journey Mapping;3;omr;software;Weitere Software;Customer-Journey-Mapping;customer-journey-mapping
customer-journey-mapping-tools;Customer Journey Mapping-Tools;2;capterra;software;Weitere Software;Customer Journey Mapping-Tools;customer-journey-mapping-tools
customer-loyalty-software;Customer-Loyalty-Software;1;capterra;software;Vertrieb & CRM;Customer-Loyalty-Software;customer-loyalty-software
customer-success-tools;Customer Success Tools;2;beide;software;Kommunikation & Support;Customer Success Tools;customer-success-tools
cyber-security-beratung;Cyber Security Beratung;3;omr;dienstleister;;Cyber Security Beratung;cyber-security-beratung
daas-software;DaaS Software;1;capterra;software;Weitere Software;DaaS Software;daas-software
dachdecker-software;Dachdecker Software;1;capterra;software;Bau & Handwerk;Dachdecker Software;dachdecker-software
dam-systeme;DAM Systeme;2;beide;software;Design & Kreativ;DAM Systeme;dam-systeme
darlehensverwaltung-tools;Darlehensverwaltung Tools;2;capterra;software;Weitere Software;Darlehensverwaltung Tools;darlehensverwaltung-tools
dashboard-software;Dashboard Software;1;capterra;software;Daten & Analytics;Dashboard Software;dashboard-software
data-analytics-beratung;Data Analytics Beratung;3;omr;dienstleister;;Data Analytics Beratung;data-analytics-beratung
data-cloud;Data Cloud;3;omr;software;Daten & Analytics;Data Cloud;data-cloud
data-collection-software;Data Collection Software;1;capterra;software;Daten & Analytics;Data Collection Software;data-collection-software
data-discovery-tools;Data Discovery Tools;2;capterra;software;Daten & Analytics;Data Discovery Tools;data-discovery-tools
data-extraction-tools;Data Extraction Tools;2;capterra;software;Daten & Analytics;Data Extraction Tools;data-extraction-tools
data-governance-tools;Data Governance Tools;2;beide;software;Daten & Analytics;Data Governance Tools;data-governance-tools
data-management-platforms;Data-Management-Platforms;2;capterra;software;Daten & Analytics;Data-Management-Platforms;data-management-platforms
data-management-platforms-dmp;Data Management Platforms DMP;2;omr;software;Marketing & SEO;Data-Management-Plattformen;data-management-plattformen-dmp
data-mining-tools;Data-Mining-Tools;2;capterra;software;Daten & Analytics;Data-Mining-Tools;data-mining-tools
data-quality-tools;Data Quality Tools;2;capterra;software;Daten & Analytics;Data Quality Tools;data-quality-tools
data-storage;Data Storage;3;omr;software;Daten & Analytics;Datenspeicher;datenspeicher
data-warehouse-systeme;Data-Warehouse-Systeme;2;beide;software;Daten & Analytics;Data-Warehouse-Systeme;data-warehouse-systeme
datenanalyse-tools;Datenanalyse Tools;2;capterra;software;Daten & Analytics;Datenanalyse Tools;datenanalyse-tools
datenbank-monitoring-software;Datenbank-Monitoring-Software;1;capterra;software;Daten & Analytics;Datenbank-Monitoring-Software;datenbank-monitoring-software
datenbank-software;Datenbank Software;1;capterra;software;Daten & Analytics;Datenbank Software;datenbank-software
datenerfassungssoftware;Datenerfassungssoftware;1;capterra;software;Daten & Analytics;Datenerfassungssoftware;datenerfassungssoftware
datenkatalog-software;Datenkatalog-Software;1;capterra;software;Daten & Analytics;Datenkatalog-Software;datenkatalog-software
datenmanagement-software;Datenmanagement Software;1;capterra;software;Daten & Analytics;Datenmanagement Software;datenmanagement-software
datenschutz-management;Datenschutz Management;2;omr;software;Daten & Analytics;Datenschutzmanagement;datenschutz-management
datenschutz-software;Datenschutz-Software;1;capterra;software;Daten & Analytics;Datenschutz-Software;datenschutz-software
datenvisualisierung-tools;Datenvisualisierung Tools;2;beide;software;Daten & Analytics;Datenvisualisierung Tools;datenvisualisierung-tools
daw;DAW;3;omr;software;Design & Kreativ;Digitale Audio-Workstations;digitale-audio-workstations
dcim-software;DCIM Software;1;capterra;software;Weitere Software;DCIM Software;dcim-software
ddos-protection-software;DDoS Protection Software;1;capterra;software;IT, Security & Infrastruktur;DDoS Protection Software;ddos-protection-software
debitorenbuchhaltung-software;Debitorenbuchhaltung Software;1;capterra;software;Finanzen & Buchhaltung;Debitorenbuchhaltung Software;debitorenbuchhaltung-software
deep-learning-software;Deep Learning Software;1;capterra;software;KI & Automatisierung;Deep Learning Software;deep-learning-software
demand-side-platform-dsp;Demand Side Platform (DSP);2;capterra;software;Marketing & SEO;Demand Side Platform (DSP);demand-side-platform-dsp
demo-software;Demo-Software;1;capterra;software;Weitere Software;Demo-Software;demo-software
dental-imaging-software;Dental Imaging Software;1;capterra;software;Gesundheit & Pflege;Dental Imaging Software;dental-imaging-software
design;Design;3;omr;software;Design & Kreativ;Design;design
desk-sharing-software;Desk Sharing Software;1;beide;software;Projekte & Zusammenarbeit;Desk Sharing Software;desk-sharing-software
devops-tools;DevOps Tools;2;capterra;software;IT, Security & Infrastruktur;DevOps Tools;devops-tools
diagramm-software;Diagramm Software;1;capterra;software;Design & Kreativ;Diagramm Software;diagramm-software
diagramming;Diagramming;3;omr;software;Design & Kreativ;Diagramme;diagramme
dialer-software;Dialer Software;1;capterra;software;Vertrieb & CRM;Dialer Software;dialer-software
dialogfaehige-ki-plattformen;Dialogfähige KI-Plattformen;2;capterra;software;KI & Automatisierung;Dialogfähige KI-Plattformen;dialogfaehige-ki-plattformen
dienstleister-erp;Dienstleister ERP;2;omr;software;Produktion & Supply Chain;ERP für Dienstleister;erp-fuer-dienstleister
dienstplan-software-und-schichtplaner;Dienstplan Software und Schichtplaner;1;beide;software;Personal & HR;Dienstplan Software und Schichtplaner;dienstplan-software-und-schichtplaner
digital-accessibility-tools;Digital Accessibility Tools;2;omr;software;Website & Content;Digital Accessibility Tools;digital-accessibility-tools
digital-adoption-platform-software;Digital Adoption Platform Software;1;capterra;software;Weitere Software;Digital Adoption Platform Software;digital-adoption-platform-software
digital-business-card;Digital Business Card;3;omr;software;Weitere Software;Digitale Visitenkarten;digitale-visitenkarten
digital-experience-platforms-dxp;Digital Experience Platforms (DXP);2;capterra;software;Website & Content;Digital Experience Platforms (DXP);digital-experience-platforms-dxp
digital-experience-plattform-dxp;Digital Experience Plattform DXP;2;omr;software;Website & Content;Digital Experience Plattform DXP;digital-experience-plattform-dxp
digital-learning-plattform;Digital Learning Plattform;2;omr;software;Lernen & Events;Digital Learning Plattform;digital-learning-plattform
digital-process-automation-dpa;Digital Process Automation Dpa;3;omr;software;KI & Automatisierung;Digitale Prozessautomatisierung;digitale-prozessautomatisierung
digital-rights-management-drm;Digital Rights Management DRM;2;omr;software;Weitere Software;Digitales Rechtemanagement;digitales-rechtemanagement
digital-sales-room;Digital Sales Room;3;omr;software;Vertrieb & CRM;Digitale Verkaufsräume;digitale-verkaufsraeume
digital-shelf-analytics-dsa;Digital Shelf Analytics DSA;3;omr;software;Daten & Analytics;Digital-Shelf-Analyse;digital-shelf-analyse
digital-signage-software;Digital Signage Software;1;capterra;software;Design & Kreativ;Digital Signage Software;digital-signage-software
digital-workplace-software;Digital Workplace Software;1;capterra;software;Weitere Software;Digital Workplace Software;digital-workplace-software
digitale-klassenbuecher;Digitale Klassenbücher;3;capterra;software;Weitere Software;Digitale Klassenbücher;digitale-klassenbuecher
direct-mail-automation-software;Direct Mail Automation Software;1;beide;software;KI & Automatisierung;Direct Mail Automation Software;direct-mail-automation-software
disaster-recovery-software;Disaster Recovery Software;1;capterra;software;IT, Security & Infrastruktur;Disaster Recovery Software;disaster-recovery-software
display-advertising-tools;Display Advertising Tools;2;capterra;software;Marketing & SEO;Display Advertising Tools;display-advertising-tools
diversity-recruiting;Diversity Recruiting;3;omr;software;Personal & HR;Diversity-Recruiting;diversity-recruiting
dlp-software;DLP-Software;1;capterra;software;IT, Security & Infrastruktur;DLP-Software;dlp-software
docketing-software;Docketing Software;1;capterra;software;Recht & Kanzlei;Docketing Software;docketing-software
dokumentenautomatisierung-software;Dokumentenautomatisierung Software;1;capterra;software;Projekte & Zusammenarbeit;Dokumentenautomatisierung Software;dokumentenautomatisierung-software
dokumentenerstellung-software;Dokumentenerstellung Software;1;capterra;software;Projekte & Zusammenarbeit;Dokumentenerstellung Software;dokumentenerstellung-software
dokumentenlenkung-software;Dokumentenlenkung Software;1;capterra;software;Projekte & Zusammenarbeit;Dokumentenlenkung Software;dokumentenlenkung-software
dokumentenmanagement;Dokumentenmanagement;3;omr;software;Projekte & Zusammenarbeit;Dokumentenmanagement;dokumentenmanagement
dokumentenmanagementsysteme;Dokumentenmanagementsysteme;2;capterra;software;Projekte & Zusammenarbeit;Dokumentenmanagementsysteme;dokumentenmanagementsysteme
domain-registration;Domain Registration;3;omr;software;IT, Security & Infrastruktur;Domainregistrierung;domainregistrierung
donor-management;Donor Management;2;omr;software;Non-Profit, Kirche & Verein;Spenderverwaltung;spenderverwaltung
drawing;Drawing;3;omr;software;Design & Kreativ;Zeichnen;zeichnen
drehbuch-software;Drehbuch Software;1;capterra;software;Design & Kreativ;Drehbuch Software;drehbuch-software
drm-software;DRM Software;1;capterra;software;Weitere Software;DRM Software;drm-software
dropshipping-software;Dropshipping Software;1;beide;software;E-Commerce & Handel;Dropshipping Software;dropshipping-software
druckkalkulation-software;Druckkalkulation Software;1;capterra;software;Weitere Branchen;Druckkalkulation Software;druckkalkulation-software
dsgvo-software;DSGVO Software;1;capterra;software;IT, Security & Infrastruktur;DSGVO Software;dsgvo-software
e-commerce-analytics;E Commerce Analytics;3;omr;software;E-Commerce & Handel;E-Commerce-Analyse;e-commerce-analyse
e-commerce-personalization;E Commerce Personalization;3;omr;software;E-Commerce & Handel;E-Commerce-Personalisierung;e-commerce-personalisierung
e-commerce-plattformen;E-Commerce Plattformen;2;capterra;software;E-Commerce & Handel;E-Commerce Plattformen;e-commerce-plattformen
e-commerce-plattformen-shopsysteme;E Commerce Plattformen Shopsysteme;2;omr;software;E-Commerce & Handel;E Commerce Plattformen Shopsysteme;e-commerce-plattformen-shopsysteme
e-commerce-services;E Commerce Services;3;omr;dienstleister;;E Commerce Services;e-commerce-services
e-commerce-tools;E Commerce Tools;2;omr;software;E-Commerce & Handel;E Commerce Tools;e-commerce-tools
e-invoice;E Invoice;3;omr;software;Finanzen & Buchhaltung;E-Rechnung;e-rechnung
e-learning-software;E-Learning Software;1;capterra;software;Lernen & Events;E-Learning Software;e-learning-software
e-mail;E Mail;3;omr;software;Weitere Software;E-Mail;e-mail
e-mail-archivierung-software;E-Mail-Archivierung-Software;1;capterra;software;IT, Security & Infrastruktur;E-Mail-Archivierung-Software;e-mail-archivierung-software
e-mail-deliverability;E Mail Deliverability;3;omr;software;Weitere Software;E-Mail-Zustellbarkeit;e-mail-zustellbarkeit
e-mail-marketing-software;E-Mail Marketing Software;1;beide;software;Marketing & SEO;E-Mail Marketing Software;e-mail-marketing-software
e-mail-programme;E-Mail-Programme;2;capterra;software;Kommunikation & Support;E-Mail-Programme;e-mail-programme
e-mail-sicherheitssoftware;E-Mail-Sicherheitssoftware;1;capterra;software;IT, Security & Infrastruktur;E-Mail-Sicherheitssoftware;e-mail-sicherheitssoftware
e-mail-signatur-software;E-Mail Signatur Software;1;beide;software;Weitere Software;E-Mail Signatur Software;e-mail-signatur-software
e-mail-tracking-tools;E-Mail-Tracking-Tools;2;capterra;software;Weitere Software;E-Mail-Tracking-Tools;e-mail-tracking-tools
e-signature;E Signature;3;omr;software;Weitere Software;Elektronische Signatur;elektronische-signatur
eam-software;EAM Software;1;capterra;software;Produktion & Supply Chain;EAM Software;eam-software
ecm-software;ECM Software;1;capterra;software;Weitere Software;ECM Software;ecm-software
edc-software;EDC Software;1;capterra;software;Gesundheit & Pflege;EDC Software;edc-software
edi-software;EDI-Software;1;capterra;software;Weitere Software;EDI-Software;edi-software
ediscovery-software;eDiscovery-Software;1;capterra;software;Recht & Kanzlei;eDiscovery-Software;ediscovery-software
edr-software;EDR Software;1;capterra;software;IT, Security & Infrastruktur;EDR Software;edr-software
ehr-software-fuer-psychische-gesundheit;EHR-Software für psychische Gesundheit;1;capterra;software;Gesundheit & Pflege;EHR-Software für psychische Gesundheit;ehr-software-fuer-psychische-gesundheit
ehs-software;EHS-Software;1;capterra;software;Weitere Software;EHS-Software;ehs-software
einkauf;Einkauf;3;omr;software;Produktion & Supply Chain;Einkauf;einkauf
einkauf-software;Einkauf Software;1;capterra;software;Produktion & Supply Chain;Einkauf Software;einkauf-software
einstellungstest-software;Einstellungstest Software;1;capterra;software;Personal & HR;Einstellungstest Software;einstellungstest-software
elearning-content;Elearning Content;3;omr;software;Marketing & SEO;E-Learning-Inhalte;e-learning-inhalte
electronic-lab-notebooks;Electronic Lab Notebooks;3;capterra;software;Weitere Software;Electronic Lab Notebooks;electronic-lab-notebooks
elektriker-software;Elektriker Software;1;capterra;software;Bau & Handwerk;Elektriker Software;elektriker-software
elektro-zeichenprogramme;Elektro Zeichenprogramme;2;capterra;software;Design & Kreativ;Elektro Zeichenprogramme;elektro-zeichenprogramme
elektronische-gesundheitsakten-fuer-erstversorgung;Elektronische Gesundheitsakten für Erstversorgung;3;capterra;software;Gesundheit & Pflege;Elektronische Gesundheitsakten für Erstversorgung;elektronische-gesundheitsakten-fuer-erstversorgung
elektronische-patientenakte-software-epa;Elektronische Patientenakte Software (ePA);1;capterra;software;Gesundheit & Pflege;Elektronische Patientenakte Software (ePA);elektronische-patientenakte-software-epa
elektronische-patientenakten-fuer-drogentherapie;Elektronische Patientenakten für Drogentherapie;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Drogentherapie;elektronische-patientenakten-fuer-drogentherapie
elektronische-patientenakten-fuer-geburtshilfe-gynaekologie;Elektronische Patientenakten für Geburtshilfe/Gynäkologie;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Geburtshilfe/Gynäkologie;elektronische-patientenakten-fuer-geburtshilfe-gynaekologie
elektronische-patientenakten-fuer-hautaerzte;Elektronische Patientenakten für Hautärzte;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Hautärzte;elektronische-patientenakten-fuer-hautaerzte
elektronische-patientenakten-fuer-kardiologie;Elektronische Patientenakten für Kardiologie;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Kardiologie;elektronische-patientenakten-fuer-kardiologie
elektronische-patientenakten-fuer-neurologie;Elektronische Patientenakten für Neurologie;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Neurologie;elektronische-patientenakten-fuer-neurologie
elektronische-patientenakten-fuer-notfallambulanz;Elektronische Patientenakten für Notfallambulanz;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Notfallambulanz;elektronische-patientenakten-fuer-notfallambulanz
elektronische-patientenakten-fuer-ophthalmologie;Elektronische Patientenakten für Ophthalmologie;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Ophthalmologie;elektronische-patientenakten-fuer-ophthalmologie
elektronische-patientenakten-fuer-orthopaeden;Elektronische Patientenakten für Orthopäden;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Orthopäden;elektronische-patientenakten-fuer-orthopaeden
elektronische-patientenakten-fuer-schmerztherapie;Elektronische Patientenakten für Schmerztherapie;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Schmerztherapie;elektronische-patientenakten-fuer-schmerztherapie
elektronische-patientenakten-fuer-urologen;Elektronische Patientenakten für Urologen;3;capterra;software;Gesundheit & Pflege;Elektronische Patientenakten für Urologen;elektronische-patientenakten-fuer-urologen
email-template-builder;Email Template Builder;2;omr;software;Marketing & SEO;E-Mail-Vorlagen-Builder;e-mail-vorlagen-builder
email-verification-tools;Email Verification Tools;2;capterra;software;Marketing & SEO;Email Verification Tools;email-verification-tools
emar-software;eMAR-Software;1;capterra;software;Gesundheit & Pflege;eMAR-Software;emar-software
emergency-notification-software;Emergency Notification Software;1;capterra;software;Kommunikation & Support;Emergency Notification Software;emergency-notification-software
employee-advocacy-tools;Employee Advocacy Tools;2;capterra;software;Non-Profit, Kirche & Verein;Employee Advocacy Tools;employee-advocacy-tools
employee-benefits;Employee Benefits;3;omr;software;Personal & HR;Mitarbeiter-Benefits;mitarbeiter-benefits
employee-benefits-software;Employee Benefits Software;1;capterra;software;Personal & HR;Employee Benefits Software;employee-benefits-software
employee-communications;Employee Communications;3;omr;software;Personal & HR;Mitarbeiterkommunikation;mitarbeiterkommunikation-plattformen
employer-branding;Employer Branding;3;omr;software;Marketing & SEO;Employer Branding;employer-branding
emr-software-fuer-die-podologie;EMR-Software für die Podologie;1;capterra;software;Gesundheit & Pflege;EMR-Software für die Podologie;emr-software-fuer-die-podologie
endpoint-detection-response-edr;Endpoint Detection Response Edr;3;omr;software;IT, Security & Infrastruktur;Endpoint Detection and Response;endpoint-detection-and-response
endpoint-management;Endpoint Management;2;omr;software;IT, Security & Infrastruktur;Endpoint-Management;endpoint-management
endpoint-protection-platforms;Endpoint Protection Platforms;2;omr;software;IT, Security & Infrastruktur;Endpoint-Schutz;endpoint-schutz
endpoint-protection-software;Endpoint Protection Software;1;capterra;software;IT, Security & Infrastruktur;Endpoint Protection Software;endpoint-protection-software
energiemanagement-software;Energiemanagement Software;1;capterra;software;Produktion & Supply Chain;Energiemanagement Software;energiemanagement-software
enterprise-architecture-tools;Enterprise Architecture Tools;2;capterra;software;Produktion & Supply Chain;Enterprise Architecture Tools;enterprise-architecture-tools
enterprise-content-management-ecm;Enterprise Content Management ECM;2;omr;software;Marketing & SEO;Enterprise Content Management;enterprise-content-management-ecm
enterprise-information-archiving;Enterprise Information Archiving;3;omr;software;Produktion & Supply Chain;Informationsarchivierung;informationsarchivierung
enterprise-legal-management-elm;Enterprise Legal Management ELM;2;omr;software;Recht & Kanzlei;Rechtsabteilungs-Management;rechtsabteilungs-management
enterprise-search-loesungen;Enterprise Search Lösungen;3;capterra;software;Produktion & Supply Chain;Enterprise Search Lösungen;enterprise-search-loesungen
enterprise-search-software;Enterprise Search Software;1;omr;software;Produktion & Supply Chain;Enterprise Search Software;enterprise-search-software
entity-management-software;Entity Management Software;1;beide;software;Weitere Software;Entity Management Software;entity-management-software
entscheidungsunterstuetzungssysteme;Entscheidungsunterstützungssysteme;2;capterra;software;Weitere Software;Entscheidungsunterstützungssysteme;entscheidungsunterstuetzungssysteme
environmental-social-and-governance-esg-reporting;Environmental Social And Governance ESG Reporting;3;omr;software;Daten & Analytics;ESG-Berichterstattung;esg-berichterstattung
eor-employer-of-record;EOR (Employer of Record);3;capterra;software;Personal & HR;EOR (Employer of Record);eor-employer-of-record
equipment-maintenance-software;Equipment Maintenance Software;1;capterra;software;Weitere Software;Equipment Maintenance Software;equipment-maintenance-software
equity-management-software;Equity Management Software;1;capterra;software;Finanzen & Buchhaltung;Equity Management Software;equity-management-software
ergotherapie-software;Ergotherapie Software;1;capterra;software;Gesundheit & Pflege;Ergotherapie Software;ergotherapie-software
erm-software;ERM-Software;1;capterra;software;Weitere Software;ERM-Software;erm-software
ermittlungssoftware;Ermittlungssoftware;1;capterra;software;Öffentlicher Sektor & Sicherheit;Ermittlungssoftware;ermittlungssoftware
ernaehrungsanalyse-software;Ernährungsanalyse Software;1;capterra;software;Gesundheit & Pflege;Ernährungsanalyse Software;ernaehrungsanalyse-software
erp-consultancies;ERP Consultancies;2;omr;dienstleister;;ERP Consultancies;erp-consultancies
erp-systeme;ERP Systeme;2;capterra;software;Produktion & Supply Chain;ERP Systeme;erp-systeme
erp-systems;ERP Systems;2;omr;software;Produktion & Supply Chain;ERP-Systeme;erp-systeme-uebersicht
esb-software;ESB Software;1;capterra;software;Weitere Software;ESB Software;esb-software
esg-software;ESG-Software;1;capterra;software;Produktion & Supply Chain;ESG-Software;esg-software
etiketten-software;Etiketten-Software;1;capterra;software;Design & Kreativ;Etiketten-Software;etiketten-software
etl-tools;ETL Tools;2;capterra;software;Daten & Analytics;ETL Tools;etl-tools
event-apps;Event-Apps;2;capterra;software;Produktion & Supply Chain;Event-Apps;event-apps
event-management-software;Event Management Software;1;beide;software;Lernen & Events;Event Management Software;event-management-software
event-marketing-software;Event Marketing Software;1;capterra;software;Marketing & SEO;Event Marketing Software;event-marketing-software
event-ticketing-systeme;Event-Ticketing-Systeme;2;capterra;software;Kommunikation & Support;Event-Ticketing-Systeme;event-ticketing-systeme
expense-management;Expense Management;2;omr;software;Finanzen & Buchhaltung;Ausgabenmanagement;ausgabenmanagement
experience-management;Experience Management;2;omr;software;Weitere Software;Experience Management;experience-management
fahrschulsoftware;Fahrschulsoftware;1;capterra;software;Bildung & Bildungsträger;Fahrschulsoftware;fahrschulsoftware
fahrtenbuch-software;Fahrtenbuch Software;1;capterra;software;Mobilität & Fahrzeuge;Fahrtenbuch Software;fahrtenbuch-software
faktura-software;Faktura Software;1;capterra;software;Finanzen & Buchhaltung;Faktura Software;faktura-software
fakturierungssoftware;Fakturierungssoftware;1;capterra;software;IT, Security & Infrastruktur;Fakturierungssoftware;fakturierungssoftware
fallmanagement-software-fuer-patienten;Fallmanagement Software für Patienten;1;capterra;software;Gesundheit & Pflege;Fallmanagement Software für Patienten;fallmanagement-software-fuer-patienten
fallmanagement-software-fuer-soziale-arbeit;Fallmanagement Software für Soziale Arbeit;1;capterra;software;KI & Automatisierung;Fallmanagement Software für Soziale Arbeit;fallmanagement-software-fuer-soziale-arbeit
fax-software;Fax Software;1;capterra;software;Kommunikation & Support;Fax Software;fax-software
fensterbau-fassadenbau-erp;Fensterbau Fassadenbau ERP;2;omr;software;Bau & Handwerk;ERP für Fenster- und Fassadenbau;erp-fuer-fenster-und-fassadenbau
fernwartungssoftware;Fernwartungssoftware;1;capterra;software;IT, Security & Infrastruktur;Fernwartungssoftware;fernwartungssoftware
festival-management-software;Festival-Management Software;1;capterra;software;Weitere Branchen;Festival-Management Software;festival-management-software
feuerwehr-software;Feuerwehr-Software;1;capterra;software;Gesundheit & Pflege;Feuerwehr-Software;feuerwehr-software
field-service-management-software;Field Service Management Software;1;capterra;software;Weitere Software;Field Service Management Software;field-service-management-software
filesharing-programme;Filesharing Programme;2;capterra;software;Projekte & Zusammenarbeit;Filesharing Programme;filesharing-programme
filialen-finder-software;Filialen Finder Software;1;capterra;software;Weitere Software;Filialen Finder Software;filialen-finder-software
financial-analytics;Financial Analytics;3;omr;software;Daten & Analytics;Finanzanalyse;finanzanalyse
financial-reporting-software;Financial Reporting Software;1;capterra;software;Daten & Analytics;Financial Reporting Software;financial-reporting-software
